season,team1,team2,winner,win_by_runs,win_by_wickets,venue,toss_winner,toss_decision,player_of_match
2014,Punjab Kings,Delhi Capitals,Punjab Kings,11,0,Rajiv Gandhi Stadium,Punjab Kings,bat,Player35
2014,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,0,2,MA Chidambaram Stadium,Mumbai Indians,field,Player28
2014,Rajasthan Royals,Punjab Kings,Punjab Kings,20,0,Chinnaswamy Stadium,Rajasthan Royals,field,Player23
2015,Punjab Kings,Rajasthan Royals,Punjab Kings,0,9,Rajiv Gandhi Stadium,Punjab Kings,bat,Player21
2015,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,46,0,Chinnaswamy Stadium,Mumbai Indians,field,Player12
2015,Mumbai Indians,Punjab Kings,Mumbai Indians,77,0,MA Chidambaram Stadium,Mumbai Indians,bat,Player6
2015,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,91,0,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player38
2015,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,0,3,Eden Gardens,Kolkata Knight Riders,bat,Player14
2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,40,0,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Player23
2015,Delhi Capitals,Mumbai Indians,Delhi Capitals,0,3,Eden Gardens,Mumbai Indians,bat,Player9
2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,78,0,Wankhede Stadium,Kolkata Knight Riders,field,Player19
2015,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,0,6,Feroz Shah Kotla,Rajasthan Royals,field,Player40
2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians,0,1,Chinnaswamy Stadium,Mumbai Indians,field,Player11
2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,78,0,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Player4
2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,86,0,Wankhede Stadium,Chennai Super Kings,bat,Player16
2015,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,0,3,Eden Gardens,Rajasthan Royals,field,Player21
2015,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,0,4,Feroz Shah Kotla,Rajasthan Royals,field,Player33
2015,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,9,0,Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Player34
2015,Punjab Kings,Mumbai Indians,Mumbai Indians,87,0,Chinnaswamy Stadium,Mumbai Indians,field,Player46
2015,Rajasthan Royals,Punjab Kings,Rajasthan Royals,26,0,Chinnaswamy Stadium,Rajasthan Royals,field,Player40
2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,Feroz Shah Kotla,Sunrisers Hyderabad,field,Player7
2015,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,0,3,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Player24
2015,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1,0,Rajiv Gandhi Stadium,Kolkata Knight Riders,field,Player25
2015,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0,6,MA Chidambaram Stadium,Chennai Super Kings,field,Player19
2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,93,0,Feroz Shah Kotla,Kolkata Knight Riders,bat,Player40
2015,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,84,0,Wankhede Stadium,Delhi Capitals,bat,Player38
2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians,0,8,Eden Gardens,Rajasthan Royals,field,Player33
2015,Chennai Super Kings,Punjab Kings,Chennai Super Kings,49,0,Rajiv Gandhi Stadium,Punjab Kings,bat,Player41
2015,Mumbai Indians,Delhi Capitals,Mumbai Indians,17,0,Feroz Shah Kotla,Mumbai Indians,bat,Player39
2015,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,64,0,Eden Gardens,Mumbai Indians,bat,Player11
2015,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,1,0,Chinnaswamy Stadium,Sunrisers Hyderabad,field,Player8
2015,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,12,0,Feroz Shah Kotla,Sunrisers Hyderabad,bat,Player45
2015,Chennai Super Kings,Punjab Kings,Punjab Kings,0,5,Wankhede Stadium,Chennai Super Kings,field,Player23
2015,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,49,0,Chinnaswamy Stadium,Sunrisers Hyderabad,field,Player2
2015,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,36,0,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Player47
2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,76,0,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Player41
2015,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,74,0,MA Chidambaram Stadium,Rajasthan Royals,bat,Player13
2015,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,73,0,Wankhede Stadium,Chennai Super Kings,field,Player3
2015,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2,0,Feroz Shah Kotla,Rajasthan Royals,bat,Player16
2015,Delhi Capitals,Chennai Super Kings,Delhi Capitals,12,0,Eden Gardens,Delhi Capitals,bat,Player45
2015,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,62,0,Wankhede Stadium,Rajasthan Royals,bat,Player25
2015,Rajasthan Royals,Mumbai Indians,Mumbai Indians,0,5,Rajiv Gandhi Stadium,Rajasthan Royals,field,Player36
2015,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,53,0,Rajiv Gandhi Stadium,Delhi Capitals,field,Player44
2015,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0,9,Eden Gardens,Kolkata Knight Riders,field,Player36
2015,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,34,0,Chinnaswamy Stadium,Kolkata Knight Riders,bat,Player4
2015,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,20,0,Eden Gardens,Sunrisers Hyderabad,field,Player18
2015,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,95,0,Eden Gardens,Royal Challengers Bangalore,bat,Player49
2015,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,8,0,MA Chidambaram Stadium,Rajasthan Royals,field,Player12
2015,Delhi Capitals,Mumbai Indians,Delhi Capitals,0,1,Feroz Shah Kotla,Mumbai Indians,bat,Player30
2015,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,45,0,Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Player46
2015,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,51,0,MA Chidambaram Stadium,Royal Challengers Bangalore,bat,Player15
2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,37,0,MA Chidambaram Stadium,Rajasthan Royals,bat,Player35
2015,Rajasthan Royals,Delhi Capitals,Delhi Capitals,0,9,Wankhede Stadium,Rajasthan Royals,bat,Player47
2015,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,96,0,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Player37
2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,0,6,Feroz Shah Kotla,Mumbai Indians,bat,Player3
2015,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,51,0,MA Chidambaram Stadium,Chennai Super Kings,bat,Player46
2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,0,7,Chinnaswamy Stadium,Rajasthan Royals,bat,Player28
2015,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,98,0,Eden Gardens,Sunrisers Hyderabad,bat,Player17
2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,0,6,Wankhede Stadium,Sunrisers Hyderabad,field,Player19
2015,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,0,5,Wankhede Stadium,Sunrisers Hyderabad,field,Player19
2015,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,0,6,Feroz Shah Kotla,Rajasthan Royals,field,Player21
2015,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,0,5,Wankhede Stadium,Royal Challengers Bangalore,field,Player41
2015,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,1,Eden Gardens,Delhi Capitals,field,Player48
2016,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,0,6,MA Chidambaram Stadium,Sunrisers Hyderabad,field,Player11
2016,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,15,0,Eden Gardens,Mumbai Indians,field,Player17
2016,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,82,0,Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Player47
2016,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,48,0,Wankhede Stadium,Punjab Kings,field,Player45
2016,Mumbai Indians,Chennai Super Kings,Mumbai Indians,96,0,Eden Gardens,Mumbai Indians,field,Player3
2016,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,61,0,MA Chidambaram Stadium,Delhi Capitals,field,Player29
2016,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,0,5,Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Player24
2016,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,0,3,Eden Gardens,Rajasthan Royals,field,Player26
2016,Mumbai Indians,Punjab Kings,Punjab Kings,67,0,Wankhede Stadium,Punjab Kings,bat,Player37
2016,Mumbai Indians,Punjab Kings,Mumbai Indians,8,0,Feroz Shah Kotla,Punjab Kings,field,Player9
2016,Rajasthan Royals,Mumbai Indians,Mumbai Indians,66,0,Wankhede Stadium,Mumbai Indians,field,Player14
2016,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,75,0,Eden Gardens,Kolkata Knight Riders,bat,Player14
2016,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,0,2,Feroz Shah Kotla,Kolkata Knight Riders,bat,Player38
2016,Punjab Kings,Chennai Super Kings,Chennai Super Kings,34,0,MA Chidambaram Stadium,Chennai Super Kings,field,Player38
2016,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0,8,Chinnaswamy Stadium,Chennai Super Kings,bat,Player3
2016,Punjab Kings,Rajasthan Royals,Rajasthan Royals,0,7,Eden Gardens,Rajasthan Royals,bat,Player39
2016,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,30,0,Feroz Shah Kotla,Sunrisers Hyderabad,bat,Player19
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,86,0,Wankhede Stadium,Sunrisers Hyderabad,bat,Player32
2016,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,8,Rajiv Gandhi Stadium,Chennai Super Kings,field,Player32
2016,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0,4,Feroz Shah Kotla,Rajasthan Royals,bat,Player22
2016,Delhi Capitals,Punjab Kings,Punjab Kings,59,0,MA Chidambaram Stadium,Punjab Kings,bat,Player31
2016,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,2,Eden Gardens,Delhi Capitals,field,Player49
2016,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,93,0,MA Chidambaram Stadium,Mumbai Indians,field,Player22
2016,Delhi Capitals,Mumbai Indians,Delhi Capitals,0,2,Wankhede Stadium,Mumbai Indians,bat,Player44
2016,Mumbai Indians,Delhi Capitals,Delhi Capitals,65,0,Eden Gardens,Mumbai Indians,bat,Player27
2016,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,0,2,Eden Gardens,Chennai Super Kings,bat,Player49
2016,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,17,0,MA Chidambaram Stadium,Delhi Capitals,field,Player29
2016,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,55,0,MA Chidambaram Stadium,Mumbai Indians,bat,Player21
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,33,0,Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Player4
2016,Rajasthan Royals,Mumbai Indians,Mumbai Indians,21,0,Chinnaswamy Stadium,Rajasthan Royals,bat,Player12
2016,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,48,0,Chinnaswamy Stadium,Chennai Super Kings,bat,Player35
2016,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,0,3,Chinnaswamy Stadium,Rajasthan Royals,field,Player7
2016,Mumbai Indians,Delhi Capitals,Delhi Capitals,13,0,Chinnaswamy Stadium,Mumbai Indians,field,Player16
2016,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,54,0,Rajiv Gandhi Stadium,Mumbai Indians,field,Player45
2016,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,0,9,Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Player28
2016,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,28,0,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Player36
2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,13,0,Wankhede Stadium,Sunrisers Hyderabad,field,Player10
2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,74,0,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Player38
2016,Punjab Kings,Chennai Super Kings,Chennai Super Kings,14,0,MA Chidambaram Stadium,Punjab Kings,bat,Player3
2016,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,0,6,Chinnaswamy Stadium,Delhi Capitals,bat,Player43
2016,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,0,6,Wankhede Stadium,Sunrisers Hyderabad,bat,Player28
2016,Punjab Kings,Rajasthan Royals,Punjab Kings,0,6,Feroz Shah Kotla,Rajasthan Royals,bat,Player47
2016,Delhi Capitals,Mumbai Indians,Mumbai Indians,6,0,Feroz Shah Kotla,Delhi Capitals,bat,Player7
2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0,5,Chinnaswamy Stadium,Kolkata Knight Riders,bat,Player36
2016,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,0,8,Wankhede Stadium,Rajasthan Royals,bat,Player8
2016,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,0,8,Eden Gardens,Sunrisers Hyderabad,bat,Player29
2016,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,79,0,Chinnaswamy Stadium,Chennai Super Kings,field,Player26
2016,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5,0,Chinnaswamy Stadium,Chennai Super Kings,bat,Player15
2016,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,17,0,Eden Gardens,Kolkata Knight Riders,field,Player7
2016,Chennai Super Kings,Mumbai Indians,Mumbai Indians,10,0,Eden Gardens,Chennai Super Kings,bat,Player11
2016,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,0,4,Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Player1
2016,Mumbai Indians,Punjab Kings,Punjab Kings,0,8,Rajiv Gandhi Stadium,Punjab Kings,bat,Player47
2016,Rajasthan Royals,Mumbai Indians,Mumbai Indians,0,1,MA Chidambaram Stadium,Rajasthan Royals,field,Player41
2016,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,0,6,Eden Gardens,Rajasthan Royals,bat,Player32
2016,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,0,5,Rajiv Gandhi Stadium,Chennai Super Kings,field,Player22
2016,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,3,Rajiv Gandhi Stadium,Chennai Super Kings,bat,Player8
2016,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,0,1,Wankhede Stadium,Delhi Capitals,bat,Player13
2016,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0,6,Wankhede Stadium,Kolkata Knight Riders,field,Player35
2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,Chinnaswamy Stadium,Kolkata Knight Riders,bat,Player25
2016,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,82,0,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player44
2017,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,98,0,Wankhede Stadium,Royal Challengers Bangalore,bat,Player16
2017,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0,8,Rajiv Gandhi Stadium,Royal Challengers Bangalore,field,Player47
2017,Delhi Capitals,Mumbai Indians,Delhi Capitals,81,0,Eden Gardens,Mumbai Indians,field,Player22
2017,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,37,0,MA Chidambaram Stadium,Rajasthan Royals,bat,Player28
2017,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,43,0,Feroz Shah Kotla,Kolkata Knight Riders,field,Player40
2017,Chennai Super Kings,Punjab Kings,Punjab Kings,0,6,Feroz Shah Kotla,Chennai Super Kings,bat,Player29
2017,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,10,0,Chinnaswamy Stadium,Royal Challengers Bangalore,field,Player27
2017,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0,9,Feroz Shah Kotla,Chennai Super Kings,bat,Player3
2017,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,0,3,Eden Gardens,Kolkata Knight Riders,bat,Player27
2017,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0,4,Feroz Shah Kotla,Rajasthan Royals,bat,Player27
2017,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,0,1,MA Chidambaram Stadium,Sunrisers Hyderabad,bat,Player20
2017,Kolkata Knight Riders,Punjab Kings,Punjab Kings,75,0,Wankhede Stadium,Kolkata Knight Riders,bat,Player1
2017,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,0,9,Feroz Shah Kotla,Rajasthan Royals,bat,Player11
2017,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,76,0,MA Chidambaram Stadium,Punjab Kings,bat,Player45
2017,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,71,0,MA Chidambaram Stadium,Punjab Kings,bat,Player21
2017,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,0,4,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Player29
2017,Punjab Kings,Mumbai Indians,Mumbai Indians,46,0,Chinnaswamy Stadium,Mumbai Indians,bat,Player27
2017,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,37,0,Wankhede Stadium,Kolkata Knight Riders,bat,Player24
2017,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,0,2,Feroz Shah Kotla,Punjab Kings,field,Player42
2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,49,0,Feroz Shah Kotla,Royal Challengers Bangalore,field,Player23
2017,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,0,5,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Player6
2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,0,7,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Player20
2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,68,0,Chinnaswamy Stadium,Kolkata Knight Riders,field,Player36
2017,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,87,0,MA Chidambaram Stadium,Mumbai Indians,field,Player37
2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0,9,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Player47
2017,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,0,8,Rajiv Gandhi Stadium,Delhi Capitals,field,Player21
2017,Punjab Kings,Mumbai Indians,Mumbai Indians,31,0,MA Chidambaram Stadium,Mumbai Indians,field,Player34
2017,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,11,0,MA Chidambaram Stadium,Delhi Capitals,bat,Player17
2017,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,21,0,Feroz Shah Kotla,Sunrisers Hyderabad,bat,Player1
2017,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,0,1,Wankhede Stadium,Rajasthan Royals,field,Player2
2017,Punjab Kings,Rajasthan Royals,Rajasthan Royals,70,0,Wankhede Stadium,Punjab Kings,bat,Player39
2017,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,34,0,Eden Gardens,Sunrisers Hyderabad,bat,Player9
2017,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,0,4,Feroz Shah Kotla,Sunrisers Hyderabad,bat,Player49
2017,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,64,0,Wankhede Stadium,Kolkata Knight Riders,bat,Player26
2017,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,0,4,MA Chidambaram Stadium,Rajasthan Royals,bat,Player43
2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,0,1,Rajiv Gandhi Stadium,Royal Challengers Bangalore,bat,Player4
2017,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,6,0,Wankhede Stadium,Punjab Kings,bat,Player40
2017,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,27,0,Rajiv Gandhi Stadium,Delhi Capitals,bat,Player48
2017,Punjab Kings,Delhi Capitals,Punjab Kings,76,0,Eden Gardens,Punjab Kings,field,Player25
2017,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,7,MA Chidambaram Stadium,Punjab Kings,field,Player37
2017,Punjab Kings,Rajasthan Royals,Rajasthan Royals,0,7,Eden Gardens,Rajasthan Royals,field,Player19
2017,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0,8,Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Player12
2017,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,27,0,Chinnaswamy Stadium,Delhi Capitals,field,Player33
2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,0,5,Rajiv Gandhi Stadium,Mumbai Indians,bat,Player33
2017,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,19,0,Rajiv Gandhi Stadium,Delhi Capitals,bat,Player2
2017,Delhi Capitals,Punjab Kings,Delhi Capitals,0,1,Feroz Shah Kotla,Punjab Kings,field,Player7
2017,Rajasthan Royals,Punjab Kings,Punjab Kings,19,0,Rajiv Gandhi Stadium,Rajasthan Royals,field,Player20
2017,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,0,9,Wankhede Stadium,Chennai Super Kings,field,Player29
2017,Chennai Super Kings,Mumbai Indians,Mumbai Indians,0,5,Chinnaswamy Stadium,Mumbai Indians,bat,Player5
2017,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,49,0,Eden Gardens,Chennai Super Kings,field,Player7
2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,0,9,Eden Gardens,Kolkata Knight Riders,field,Player24
2017,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0,7,Eden Gardens,Chennai Super Kings,bat,Player38
2017,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,0,4,Chinnaswamy Stadium,Kolkata Knight Riders,field,Player35
2017,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,34,0,Rajiv Gandhi Stadium,Rajasthan Royals,field,Player15
2017,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,96,0,Rajiv Gandhi Stadium,Royal Challengers Bangalore,bat,Player36
2017,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,68,0,Wankhede Stadium,Royal Challengers Bangalore,field,Player25
2017,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,22,0,Eden Gardens,Delhi Capitals,bat,Player22
2017,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,28,0,Wankhede Stadium,Kolkata Knight Riders,bat,Player4
2017,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,0,3,Wankhede Stadium,Mumbai Indians,field,Player9
2017,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,0,6,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Player27
2018,Delhi Capitals,Chennai Super Kings,Delhi Capitals,0,5,Wankhede Stadium,Chennai Super Kings,bat,Player15
2018,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,27,0,MA Chidambaram Stadium,Kolkata Knight Riders,field,Player28
2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,42,0,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Player40
2018,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,96,0,Chinnaswamy Stadium,Rajasthan Royals,field,Player33
2018,Mumbai Indians,Rajasthan Royals,Mumbai Indians,48,0,MA Chidambaram Stadium,Rajasthan Royals,bat,Player3
2018,Delhi Capitals,Chennai Super Kings,Delhi Capitals,16,0,MA Chidambaram Stadium,Chennai Super Kings,field,Player10
2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,36,0,Eden Gardens,Chennai Super Kings,bat,Player46
2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,91,0,Rajiv Gandhi Stadium,Chennai Super Kings,bat,Player46
2018,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,6,0,Eden Gardens,Chennai Super Kings,bat,Player49
2018,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,0,5,Wankhede Stadium,Sunrisers Hyderabad,field,Player21
2018,Chennai Super Kings,Delhi Capitals,Delhi Capitals,60,0,Rajiv Gandhi Stadium,Delhi Capitals,field,Player36
2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,79,0,Chinnaswamy Stadium,Sunrisers Hyderabad,field,Player22
2018,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,77,0,Chinnaswamy Stadium,Royal Challengers Bangalore,field,Player7
2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,0,4,Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Player3
2018,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,1,0,Rajiv Gandhi Stadium,Rajasthan Royals,bat,Player48
2018,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,0,5,MA Chidambaram Stadium,Sunrisers Hyderabad,bat,Player45
2018,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,68,0,Feroz Shah Kotla,Rajasthan Royals,field,Player12
2018,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,0,7,Wankhede Stadium,Kolkata Knight Riders,bat,Player24
2018,Mumbai Indians,Delhi Capitals,Mumbai Indians,0,7,Feroz Shah Kotla,Delhi Capitals,field,Player42
2018,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,80,0,Wankhede Stadium,Mumbai Indians,bat,Player9
2018,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,39,0,Rajiv Gandhi Stadium,Delhi Capitals,field,Player5
2018,Chennai Super Kings,Punjab Kings,Chennai Super Kings,0,7,Eden Gardens,Punjab Kings,bat,Player22
2018,Mumbai Indians,Delhi Capitals,Mumbai Indians,87,0,Feroz Shah Kotla,Delhi Capitals,field,Player47
